CIPCODE,CIPDESC,CREDLEV,CREDDESC,Duplicate
4701,Electrical/Electronics Maintenance and Repair Technology.,2,Associate's Degree,47012
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",1,Undergraduate Certificate or Diploma,47021
4805,Precision Metal Working.,1,Undergraduate Certificate or Diploma,48051
4805,Precision Metal Working.,2,Associate's Degree,48052
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",1,Undergraduate Certificate or Diploma,51381
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,Associate's Degree,51382
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,51391
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",2,Associate's Degree,51392
5202,"Business Administration, Management and Operations.",1,Undergraduate Certificate or Diploma,52021
5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,52041
5204,Business Operations Support and Assistant Services.,2,Associate's Degree,52042
1399,"Education, Other.",3,Bachelors Degree,13993
4302,Fire Protection.,3,Bachelors Degree,43023
4501,"Social Sciences, General.",3,Bachelors Degree,45013
5299,"Business, Management, Marketing, and Related Support Services, Other.",3,Bachelors Degree,52993
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",7,First Professional Degree,13127
2401,"Liberal Arts and Sciences, General Studies and Humanities.",5,Master's Degree,24015
4001,Physical Sciences.,3,Bachelors Degree,40013
4506,Economics.,3,Bachelors Degree,45063
4507,Geography and Cartography.,1,Undergraduate Certificate or Diploma,45071
4507,Geography and Cartography.,8,Graduate/Professional Certificate,45078
5201,"Business/Commerce, General.",3,Bachelors Degree,52013
5201,"Business/Commerce, General.",5,Master's Degree,52015
5211,International Business.,3,Bachelors Degree,52113
101,Agricultural Business and Management.,5,Master's Degree,1015
103,Agricultural Production Operations.,3,Bachelors Degree,1033
103,Agricultural Production Operations.,5,Master's Degree,1035
103,Agricultural Production Operations.,6,Doctoral Degree,1036
109,Animal Sciences.,5,Master's Degree,1095
109,Animal Sciences.,6,Doctoral Degree,1096
111,Plant Sciences.,4,Post-baccalaureate Certificate,1114
111,Plant Sciences.,5,Master's Degree,1115
111,Plant Sciences.,6,Doctoral Degree,1116
111,Plant Sciences.,8,Graduate/Professional Certificate,1118
301,Natural Resources Conservation and Research.,5,Master's Degree,3015
302,Natural Resources Management and Policy.,3,Bachelors Degree,3023
305,Forestry.,5,Master's Degree,3055
305,Forestry.,6,Doctoral Degree,3056
306,Wildlife and Wildlands Science and Management.,3,Bachelors Degree,3063
402,Architecture.,3,Bachelors Degree,4023
404,Environmental Design.,3,Bachelors Degree,4043
405,Interior Architecture.,3,Bachelors Degree,4053
406,Landscape Architecture.,5,Master's Degree,4065
410,Real Estate Development.,5,Master's Degree,4105
1304,Educational Administration and Supervision.,4,Post-baccalaureate Certificate,13044
1310,Special Education and Teaching.,4,Post-baccalaureate Certificate,13104
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",4,Post-baccalaureate Certificate,13124
1313,"Teacher Education and Professional Development, Specific Subject Areas.",4,Post-baccalaureate Certificate,13134
1313,"Teacher Education and Professional Development, Specific Subject Areas.",6,Doctoral Degree,13136
1313,"Teacher Education and Professional Development, Specific Subject Areas.",8,Graduate/Professional Certificate,13138
1404,Architectural Engineering.,4,Post-baccalaureate Certificate,14044
1404,Architectural Engineering.,5,Master's Degree,14045
1404,Architectural Engineering.,8,Graduate/Professional Certificate,14048
1432,Polymer/Plastics Engineering.,3,Bachelors Degree,14323
1432,Polymer/Plastics Engineering.,5,Master's Degree,14325
1432,Polymer/Plastics Engineering.,6,Doctoral Degree,14326
1435,Industrial Engineering.,4,Post-baccalaureate Certificate,14354
1435,Industrial Engineering.,8,Graduate/Professional Certificate,14358
1445,Biological/Biosystems Engineering.,3,Bachelors Degree,14453
1445,Biological/Biosystems Engineering.,5,Master's Degree,14455
1445,Biological/Biosystems Engineering.,6,Doctoral Degree,14456
1905,"Foods, Nutrition, and Related Services.",8,Graduate/Professional Certificate,19058
1907,"Human Development, Family Studies, and Related Services.",6,Doctoral Degree,19076
1909,Apparel and Textiles.,5,Master's Degree,19095
1999,"Family and Consumer Sciences/Human Sciences, Other.",3,Bachelors Degree,19993
2607,Zoology/Animal Biology.,3,Bachelors Degree,26073
2609,"Physiology, Pathology and Related Sciences.",3,Bachelors Degree,26093
2609,"Physiology, Pathology and Related Sciences.",8,Graduate/Professional Certificate,26098
2703,Applied Mathematics.,3,Bachelors Degree,27033
2703,Applied Mathematics.,5,Master's Degree,27035
3019,Nutrition Sciences.,3,Bachelors Degree,30193
4404,Public Administration.,3,Bachelors Degree,44043
4404,Public Administration.,4,Post-baccalaureate Certificate,44044
4404,Public Administration.,6,Doctoral Degree,44046
4404,Public Administration.,8,Graduate/Professional Certificate,44048
4506,Economics.,5,Master's Degree,45065
5004,Design and Applied Arts.,5,Master's Degree,50045
5004,Design and Applied Arts.,6,Doctoral Degree,50046
5102,Communication Disorders Sciences and Services.,7,First Professional Degree,51027
5120,"Pharmacy, Pharmaceutical Sciences, and Administration.",5,Master's Degree,51205
5120,"Pharmacy, Pharmaceutical Sciences, and Administration.",6,Doctoral Degree,51206
5120,"Pharmacy, Pharmaceutical Sciences, and Administration.",7,First Professional Degree,51207
5124,Veterinary Medicine.,7,First Professional Degree,51247
5125,Veterinary Biomedical and Clinical Sciences.,5,Master's Degree,51255
5125,Veterinary Biomedical and Clinical Sciences.,6,Doctoral Degree,51256
5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,52031
5213,Management Sciences and Quantitative Methods.,8,Graduate/Professional Certificate,52138
5401,History.,4,Post-baccalaureate Certificate,54014
5401,History.,8,Graduate/Professional Certificate,54018
3010,Biopsychology.,3,Bachelors Degree,30103
3020,International/Global Studies.,3,Bachelors Degree,30203
3905,Religious/Sacred Music.,3,Bachelors Degree,39053
5006,Film/Video and Photographic Arts.,3,Bachelors Degree,50063
4301,Criminal Justice and Corrections.,1,Undergraduate Certificate or Diploma,43011
